tournament,host,country,place,year,value_00
Women's World Cup,France,NA,0,2019,30
Women's World Cup,France,NA,1,2019,4
Women's World Cup,France,NA,2,2019,2.6
Women's World Cup,France,NA,3,2019,2
Women's World Cup,France,NA,4,2019,1.6
Women's World Cup,France,NA,5,2019,1.45
Women's World Cup,France,NA,6,2019,1.45
Women's World Cup,France,NA,7,2019,1.45
Women's World Cup,France,NA,8,2019,1.45
Women's World Cup,France,NA,9,2019,1
Women's World Cup,France,NA,10,2019,1
Women's World Cup,France,NA,11,2019,1
Women's World Cup,France,NA,12,2019,1
Women's World Cup,France,NA,13,2019,1
Women's World Cup,France,NA,14,2019,1
Women's World Cup,France,NA,15,2019,1
Women's World Cup,France,NA,16,2019,1
Women's World Cup,France,NA,17,2019,0.75
Women's World Cup,France,NA,18,2019,0.75
Women's World Cup,France,NA,19,2019,0.75
Women's World Cup,France,NA,20,2019,0.75
Women's World Cup,France,NA,21,2019,0.75
Women's World Cup,France,NA,22,2019,0.75
Women's World Cup,France,NA,23,2019,0.75
Women's World Cup,France,NA,24,2019,0.75
Women's World Cup,Canada,NA,0,2015,15
Women's World Cup,Canada,USA,1,2015,2
Women's World Cup,Germany_,NA,0,2011,10
Women's World Cup,Germany_,Germany,1,2011,1
World Cup,Russia,NA,0,2018,400
World Cup,Russia,France,1,2018,38
World Cup,Russia,Croatia,2,2018,28
World Cup,Russia,Belgium,3,2018,24
World Cup,Russia,England,4,2018,22
World Cup,Russia,Brazil,5,2018,16
World Cup,Russia,Russia,6,2018,16
World Cup,Russia,Sweden,7,2018,16
World Cup,Russia,Uruguay,8,2018,16
World Cup,Russia,Argentina,9,2018,12
World Cup,Russia,Colombia,10,2018,12
World Cup,Russia,Denmark,11,2018,12
World Cup,Russia,Japan,12,2018,12
World Cup,Russia,Mexico,13,2018,12
World Cup,Russia,Portugal,14,2018,12
World Cup,Russia,Spain,15,2018,12
World Cup,Russia,Switzerland,16,2018,12
World Cup,Russia,Australia,17,2018,8
World Cup,Russia,Costa Rica,18,2018,8
World Cup,Russia,Egypt,19,2018,8
World Cup,Russia,Germany,20,2018,8
World Cup,Russia,Iceland,21,2018,8
World Cup,Russia,Iran,22,2018,8
